TIME_SINCE_START	COUNT_RATE	ERR
29585	3.021803921568628E+01	1.741738824573236E+00
29595	2.800941176470588E+01	1.676879619864101E+00
29605	3.403294117647059E+01	1.848415637536323E+00
29615	3.152313725490196E+01	1.778953551979354E+00
29625	3.443450980392157E+01	1.859288764481469E+00
29635	3.222588235294118E+01	1.798673354507938E+00
29645	3.011764705882353E+01	1.738843163676991E+00
29655	3.523764705882353E+01	1.880846455988223E+00
29665	3.061960784313726E+01	1.753273644832425E+00
29675	3.584000000000000E+01	1.896853948505468E+00
29685	3.152313725490196E+01	1.778953551979354E+00
29695	3.031843137254902E+01	1.744629679383368E+00
29705	3.041882352941176E+01	1.747515751959011E+00
29715	3.463529411764706E+01	1.864701552540281E+00
29725	3.252705882352941E+01	1.807058823529412E+00
29735	3.393254901960784E+01	1.845687347285357E+00
29745	2.750745098039216E+01	1.661785886845174E+00
29755	3.503686274509804E+01	1.875480264008223E+00
29765	3.503686274509804E+01	1.875480264008223E+00
29775	3.252705882352941E+01	1.807058823529412E+00
29785	3.423372549019608E+01	1.853860172561005E+00
29795	3.302901960784314E+01	1.820948795955908E+00
29805	3.162352941176471E+01	1.781784028792355E+00
29815	3.212549019607843E+01	1.795869497223361E+00
29825	3.594039215686274E+01	1.899508748892813E+00
29835	2.951529411764706E+01	1.721366909438218E+00
29845	3.353098039215686E+01	1.834733616438921E+00
29855	2.961568627450981E+01	1.724291919040519E+00
29865	2.971607843137255E+01	1.727211975186598E+00
29875	3.423372549019608E+01	1.853860172561005E+00
29885	3.302901960784314E+01	1.820948795955908E+00
29895	3.333019607843137E+01	1.829232153930149E+00
29905	3.001725490196078E+01	1.735942672644074E+00
29915	3.092078431372549E+01	1.761875202488144E+00
29925	3.443450980392157E+01	1.859288764481469E+00
29935	3.132235294117647E+01	1.773279044533278E+00
29945	3.031843137254902E+01	1.744629679383368E+00
29955	3.553882352941176E+01	1.888867159564728E+00
29965	3.031843137254902E+01	1.744629679383368E+00
29975	3.001725490196078E+01	1.735942672644074E+00
29985	3.102117647058823E+01	1.764733071685968E+00
29995	3.051921568627451E+01	1.750397065955157E+00
30005	2.971607843137255E+01	1.727211975186598E+00
30015	3.102117647058823E+01	1.764733071685968E+00
30025	3.423372549019608E+01	1.853860172561005E+00
30035	3.312941176470589E+01	1.823714095644607E+00
30045	3.292862745098039E+01	1.818179290480925E+00
30055	2.951529411764706E+01	1.721366909438218E+00
30065	2.851137254901961E+01	1.691838699555410E+00
30075	3.333019607843137E+01	1.829232153930149E+00
30085	3.282823529411765E+01	1.815405559971150E+00
